Species,Species_Abbreviation,TaxonomicGroup,PrevalenceChange,NRB_T1,NRB_T2,NRBShift_Raw,NRBShift,PhenologyShift,Pvalue_Phenology,SE_PhenologyShift,PopulationTrend,P_PopulatioTrend,NRB_Shift_Scaled,Phenology_Shift_Scaled,PopulationTrend_Scaled,PhenologyCategory,NRB_Category,PopualtionTrend_Category,response,hypo,HostUse,Voltinism,OverwinteringStage,BodySize,HU,volti,univolt_dummy,specialist_dummy,generalist_dummy,lf_dummy,adult_dummy,larva_dummy,pupa_dummy,North_dummy,South_dummy,Advance_dummy,Delay_dummy,NorthAdvance_dummy,SouthAdvance_dummy,NorthDelay_dummy,Hypo1_dummy,Hypo2_dummy
Hepialus fusconebulosus,Pha.fusc,Moth,-50,739.1,743,39,32.41472785,0.144478397,1.04E-05,0.03267709,-0.007,0.191,0.226792745,0.477751279,-0.138873988,DEL,EXP,STAB,DELEXP,one,polyphagous,0,larva,44.5,generalist,semi and uni,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
Parnassius mnemosyne,Par.mnem,Butterfly,21,671.5,677.4,59,43.33038178,0.075624915,0.310181191,0.074466534,0,NA,0.303165162,0.250071295,0,STAB,EXP,NA,DELEXP,one,monophagous,1,egg,59.3,specialist,semi and uni,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Carterocephalus silvicola,Car.silv,Butterfly,-294,736,728.7,-73,-48.36582929,0.019045122,0.68111175,0.046337222,-0.022225799,0.057277858,-0.338396153,0.062977106,-0.440940762,STAB,CONTR,STAB,DELCONTR,zero,polyphagous,1,larva,25.1,generalist,semi and uni,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Thymelicus lineola,Thy.line,Butterfly,-46,721.1,725,39,31.90293371,0.218339398,8.85E-33,0.018271663,0.014934261,0.126153334,0.223211928,0.721989783,0.296282911,DEL,EXP,STAB,DELEXP,one,polyphagous,1,egg,25.5,generalist,semi and uni,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
Ochlodes sylvanus,Och.sylv,Butterfly,-29,722.2,730.6,84,74.72780859,0.165037793,3.82E-11,0.024934963,-0.012256734,0.19695875,0.522840263,0.545735683,-0.243163075,DEL,EXP,STAB,DELEXP,one,polyphagous,2,larva,29.9,generalist,multi,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
Anthocharis cardamines,Ant.card,Butterfly,-352,761.9,740.8,-211,-178.9448142,0.053845345,0.303419223,0.052315013,0.005540378,0.324311148,-1.252004515,0.178052104,0.109916341,STAB,CONTR,STAB,DELCONTR,zero,oligophagous,1,pupa,39.5,specialist,semi and uni,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Aporia crataegi,Apo.crat,Butterfly,86,715.5,708.9,-66,-89.98627308,-0.123513387,0.011740606,0.048961136,0.001126817,0.905914311,-0.62959757,-0.408425617,0.022355081,ADV,CONTR,STAB,ADVCONTR,one,oligophagous,1,larva,62.7,specialist,semi and uni,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0
Pieris brassicae,Pie.bras,Butterfly,-208,719.3,709.2,-101,-87.36940341,0.667732292,0.000232441,0.180782224,-0.040131175,0.002951428,-0.611288391,2.208011459,-0.796168043,DEL,CONTR,NEG,DELCONTR,zero,polyphagous,3,pupa,56.7,generalist,multi,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
Pieris rapae,Pie.rapa,Butterfly,-215,730.8,717.8,-130,-115.4737637,0.624300213,0.000142048,0.163119774,-0.051392144,0.005596329,-0.807923237,2.064393231,-1.019575996,DEL,CONTR,NEG,DELCONTR,zero,polyphagous,3,pupa,42.2,generalist,multi,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
Pieris napi,Pie.napi,Butterfly,1567,775.3,769.5,-58,-271.4780554,-0.172463289,2.33E-05,0.040757152,-0.014593815,0.079900325,-1.899422191,-0.570289803,-0.289528755,ADV,CONTR,STAB,ADVCONTR,one,polyphagous,3,pupa,40.2,generalist,multi,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0
Gonepteryx rhamni,Gon.rham,Butterfly,973,714.8,719.4,46,-91.47662479,0.270368824,3.06E-05,0.064830759,-0.002115731,0.695794004,-0.640024958,0.89403713,-0.041974286,DEL,CONTR,STAB,DELCONTR,zero,oligophagous,1,adult,49.8,specialist,semi and uni,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Colias palaeno,Col.pala,Butterfly,-374,776.6,771.1,-55,-20.12994638,0.518917751,9.51E-05,0.131638914,-0.011730095,0.459387208,-0.140841096,1.715921714,-0.23271501,DEL,CONTR,STAB,DELCONTR,zero,monophagous,1,larva,47.8,specialist,semi and uni,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Callophrys rubi,Cal.rubi,Butterfly,-415,749.1,762,129,169.1159436,0.176435698,1.57E-06,0.036706211,-0.006930722,0.400189728,1.183235881,0.583425493,-0.137499572,DEL,EXP,STAB,DELEXP,one,polyphagous,2,pupa,23.9,generalist,multi,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0
